Document Number,Invoice Value,Department,Authorization,Conflicting Rules
1919000489,147450,Warehouse,Yes,No Conflicting Rules
1919000492,78586,Warehouse,Yes,No Conflicting Rules
1919000500,262632,Warehouse,Yes,No Conflicting Rules
1919000502,310340,Warehouse,Yes,No Conflicting Rules
1919000541,97940,Warehouse,Yes,No Conflicting Rules
1924000095,138351,Warehouse,Yes,No Conflicting Rules
1924000112,43560,Warehouse,Yes,No Conflicting Rules
1927000294,4556,Warehouse,Yes,No Conflicting Rules
1927000332,2254,Warehouse,Yes,No Conflicting Rules
1819100558,21954,Warehouse,No,Read-Only
1819100608,99036,Warehouse,No,Read-Only
1819100664,27612,Warehouse,No,Read-Only
1819100689,30744,Warehouse,No,Read-Only
1819100690,19146,Warehouse,No,Read-Only
1819100743,148838,Warehouse,No,Read-Only
1819100782,100536,Warehouse,No,Read-Only
1819100786,103044,Warehouse,No,Read-Only
1819100794,41398,Warehouse,No,Read-Only
1819100795,83750,Warehouse,No,Read-Only
1819100819,53548,Warehouse,No,Read-Only
1819100829,5734,Warehouse,No,Read-Only
1819100831,21948,Warehouse,No,Read-Only
1819100836,183750,Warehouse,No,Read-Only
1819100923,148838,Warehouse,No,Read-Only
1903000059,30281,Warehouse,No,Read-Only
1904000782,17831776,Warehouse,No,Read-Only
1905000317,15002,Warehouse,No,Read-Only
1905000332,91,Warehouse,No,Read-Only
1907000497,11560,Warehouse,No,Read-Only
1907000501,1224,Warehouse,No,Read-Only
1907000518,1449630,Warehouse,No,Read-Only
1907000538,519750,Warehouse,No,Read-Only
1907000542,21525,Warehouse,No,Read-Only
1907000557,1882,Warehouse,No,Read-Only
1907000598,17842,Warehouse,No,Read-Only
1919000441,175820,Warehouse,No,Read-Only
1919000466,108324,Warehouse,No,Read-Only
1919000482,11107,Warehouse,No,Read-Only
1919000523,84360,Warehouse,No,Read-Only
1919000525,9892,Warehouse,No,Read-Only
1919000556,312066,Warehouse,No,Read-Only
1927000268,185220,Warehouse,No,Read-Only
1819100559,148838,HR,Yes,No Conflicting Rules
1819100603,641259,HR,Yes,No Conflicting Rules
1819100623,5232,HR,Yes,No Conflicting Rules
1819100669,94704,HR,Yes,No Conflicting Rules
1819100670,2150,HR,Yes,No Conflicting Rules
1819100704,1120,HR,Yes,No Conflicting Rules
1819100773,2561,HR,Yes,No Conflicting Rules
1819100834,3689,HR,Yes,No Conflicting Rules
1819100875,19785,HR,Yes,No Conflicting Rules
1819100903,60278,HR,Yes,No Conflicting Rules
1819200105,76305,HR,Yes,No Conflicting Rules
1904000770,23883,HR,Yes,No Conflicting Rules
1905000275,14472,HR,Yes,No Conflicting Rules
1905000289,4230,HR,Yes,No Conflicting Rules
1905000297,400911,HR,Yes,No Conflicting Rules
1905000301,19036,HR,Yes,No Conflicting Rules
1905000311,105840,HR,Yes,No Conflicting Rules
1907000600,16542,HR,Yes,No Conflicting Rules
1919000487,42108,HR,Yes,No Conflicting Rules
1919000515,278453,HR,Yes,No Conflicting Rules
1927000256,64575,HR,Yes,No Conflicting Rules
1927000286,7542,HR,Yes,No Conflicting Rules
1927000289,91008,HR,Yes,No Conflicting Rules
1819100560,14297,HR,Yes,No Conflicting Rules
1819100561,148838,HR,Yes,No Conflicting Rules
1819100591,325680,HR,Yes,No Conflicting Rules
1819100649,55012,HR,Yes,No Conflicting Rules
1819100676,561,HR,Yes,No Conflicting Rules
1819100699,4720,HR,Yes,No Conflicting Rules
1819100759,8184,HR,Yes,No Conflicting Rules
1819100781,127575,HR,Yes,No Conflicting Rules
1819100830,136080,HR,Yes,No Conflicting Rules
1819100839,148838,HR,Yes,No Conflicting Rules
1819100870,2350,HR,Yes,No Conflicting Rules
1819100888,252630,HR,Yes,No Conflicting Rules
1819100906,4810,HR,Yes,No Conflicting Rules
1819100907,5711,HR,Yes,No Conflicting Rules
1819200054,250,HR,Yes,No Conflicting Rules
1819200087,726327,HR,Yes,No Conflicting Rules
1904000809,1804,HR,Yes,No Conflicting Rules
1905000276,15678,HR,Yes,No Conflicting Rules
1905000280,15080,HR,Yes,No Conflicting Rules
